Tipo de actividad;Fecha;Favorito;Título;Distancia;Calorías;Tiempo;Frecuencia cardiaca media;Frecuencia cardiaca máxima;TE aeróbico;Cadencia de carrera media;Cadencia de carrera máxima;Ritmo medio;Ritmo óptimo;Ascenso total;Descenso total;Longitud media de zancada;Relación vertical media;Oscilación vertical media;Tiempo medio de contacto con el suelo;Cadencia de carrera media;Cadencia de carrera máxima;Training Stress Score®;Potencia media;Potencia máxima;Dificultad;Fluidez;Swolf medio;Velocidad media de palada;Repeticiones totales;Tiempo de inmersión;Temperatura mínima;Intervalo en superficie;Descompresión;Mejor tiempo de vuelta;Número de vueltas;Temperatura máxima;Tiempo en movimiento;Tiempo transcurrido;Altura mínima;Altura máxima
Carrera;12/05/2022 8:35;false;Santa Brígida Carrera;10.02;821;0:51:41;162;178;4.2;172;184;5:10;3:52;95;118;1.13;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;23.0;0:00;No;00:03.47.3;11;30.0;0:51:38;0:51:41;467;500
Trail running;07/05/2022 8:01;false;Vega de San Mateo Trail running;24.56;2,262;3:48:34;150;183;3.8;124;249;9:18;4:33;1,279;1,284;0.86;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;21.0;0:00;No;03:48:33.63.5;1;30.0;3:47:20;3:48:34;829;1.879
Trail running;03/05/2022 17:17;false;Santa Brígida Trail running;9.11;764;0:50:30;160;179;3.7;168;196;5:32;3:47;169;184;1.07;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;22.0;0:00;No;50:29.67.9;1;29.0;0:50:28;0:59:34;355;528
Trail running;30/04/2022 6:35;false;Vega de San Mateo Trail running;26.07;2,081;4:12:38;126;167;2.8;105;244;9:41;3:54;1,334;1,337;0.98;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;17.0;0:00;No;04:12:38.02.4;1;28.0;3:43:42;4:18:07;840;1.931
Trail running;26/04/2022 17:26;false;Santa Brígida Trail running;15.50;1,125;1:38:33;150;213;3.5;158;230;6:22;3:37;283;289;1.00;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;22.0;0:00;No;01:38:33.39.9;1;28.0;1:38:33;1:43:55;247;530
Carrera;24/04/2022 18:19;false;Santa Brígida Carrera;4.03;324;0:24:19;142;164;2.5;166;181;6:02;4:35;70;53;1.00;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;24.0;0:00;No;00:12.79.1;5;28.0;0:24:17;0:34:15;486;532
Carrera;22/04/2022 17:58;false;Santa Brígida Carrera;11.03;830;0:58:15;153;169;3.4;172;183;5:17;3:53;153;154;1.10;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;22.0;0:00;No;00:10.84.3;12;26.0;0:58:09;0:58:15;408;457
Trail running;19/04/2022 17:05;false;Santa Brígida Trail running;15.01;1,299;2:12:12;142;178;3.4;124;230;8:49;4:34;610;613;0.92;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;22.0;0:00;No;02:12:12.34.8;1;30.0;2:02:08;2:14:56;339;567
Carrera;17/04/2022 20:08;false;Santa Brígida Carrera;5.02;401;0:31:56;141;160;2.4;160;201;6:22;4:41;69;73;0.98;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;26.0;0:00;No;00:09.83.6;6;29.0;0:31:53;0:31:56;435;479
Trail running;15/04/2022 8:38;false;Santa Brígida Trail running;10.01;859;1:32:42;141;186;3.4;129;230;9:16;4:57;370;409;0.84;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;21.0;0:00;No;01:32:41.75.4;1;28.0;1:26:42;1:33:34;358;589
